csi,lambda,gamma,k,h,target
9536244627116.71,108.751117491423,1,2.31180091324714,1.916596,0
4916994917074.07,108.61882658162,1,2.88651019208343,3.679223,0
816621677935131,95.9122772009432,0.314200533598331,1.80613559061033,1.576296,0
3.80161385764566e+16,95.5978764164882,0.586046358906117,3.57425406127586,4.911266,0.680727903602053
6.59902396719963e+16,95.9526901528076,0.807232167809527,2.61038709505008,1.988326,0.00335364975930219
2335664136890.98,105.86683536797,1,4.07417309721242,8.85161,0.0222696963171388
2589289049437.91,105.981325029246,1,4.00133883654072,4.290086,0
572871548614326,104.530800830551,0.544139650277685,2.01357297112621,3.004607,0.022691550266718
242633464285316,98.7286923106959,0.839667971811652,2.05113227028804,2.533259,0
9.02257204921472e+15,98.6275364336768,0.391166620434125,3.12970601778703,3.217013,0
2.24519847779155e+15,110.801662910685,1,3.97785344011685,5.2666,0
93978261403367.2,113.377923617504,1,3.65361155623566,2.398883,0.00177831972363485
7350886782338.51,108.590765824215,1,2.25946902047049,3.022784,0
3.75910631176583e+16,107.287613606106,1,2.06729072476309,2.373344,0
182017120.685229,91.085545022197,1,2.25264497258149,1.701013,0
1.41453174550971e+17,106.845104126886,0.284502167055027,3.24830103085995,2.6048,0.00177147426480284
73208919078940.6,108.494277615201,1,2.45931009880169,2.017301,0.00200901684108135
121181002486593,110.838479780323,1,1.75967384891657,1.798054,0
112967931106040,103.2834987076,0.620837896793421,2.34171419909167,3.739604,0.00782530366683842
0,0,0,0,0,0
469664161925035,94.9008303697818,0.979957011856094,2.25801865171331,2.232827,0
3.383658436882e+15,103.439135368053,0.512966088086172,2.18250203624997,4.337687,0.652637252247972
1.30265988812908e+15,107.557497103828,0.366209494603021,1.9548847848129,3.362345,0.0715430640837733
635917187889750,103.445767494077,0.544402477716299,4.64812246797605,4.695692,0
18811737364547.5,111.21154690419,0.986782928470433,4.67079814963872,4.90457,0
10851119475.9564,107.24029640071,1,1.55243625962702,1.998171,0
926819541416409,96.427463615331,0.324215789598593,1.69740331156213,1.583454,0
1.9750812716921e+15,107.633822061342,1,3.97608800734001,7.12551,0.0136505662117421
8.70557731847728e+15,97.4828773869124,0.395221205276275,2.19886669335056,2.006963,0
