id,x,y,csi,lambda,gamma,target
2,24,108,110615812732.881,90.4485810083632,1,0.00244947836570131
2,25,108,8642281629444.22,90.6914038035587,1,0.00244947836570131
2,26,108,582453900781294,91.4155813161224,1,0.00244947836570131
2,27,108,611504916005570,93.0221307074028,0.421696503428582,0.00244947836570131
2,28,108,2.35271666470867e+16,93.2440675815431,0.421696503428582,0.00244947836570131
2,29,108,2.48096726968989e+16,103.852551686337,0.251188643150958,0.00244947836570131
2,24,109,142118239043.741,90.3782763422252,1,0.00244947836570131
2,25,109,8497181193176.85,90.6795434917457,1,0.00244947836570131
2,26,109,686742019512100,91.2743795023652,1,0.00244947836570131
2,27,109,760359158271621,92.9356068896501,0.421696503428582,0.00244947836570131
2,28,109,2.79219810689466e+16,93.0662994811889,0.421696503428582,0.00244947836570131
2,29,109,3.18621451850873e+16,103.501367513716,0.251188643150958,0.00244947836570131
2,24,110,149622299373.348,90.3013631487125,1,0.00244947836570131
2,25,110,8102761072415.4,90.5851008934537,1,0.00244947836570131
2,26,110,779900940298857,91.2268126224378,1,0.00244947836570131
2,27,110,921911976292480,92.7652367067963,0.421696503428582,0.00244947836570131
2,28,110,3.22178483928118e+16,93.0498797341116,0.421696503428582,0.00244947836570131
2,29,110,4.10236241481761e+16,103.017727632282,0.251188643150958,0.00244947836570131
2,24,111,173005054783.691,90.221956088358,1,0.00244947836570131
2,25,111,8483560174319.99,90.5384040093733,1,0.00244947836570131
2,26,111,771397964212081,91.1532462350633,1,0.00244947836570131
2,27,111,943719374496671,92.7135636040798,0.421696503428582,0.00244947836570131
2,28,111,3.18675541190263e+16,93.0392062446714,0.421696503428582,0.00244947836570131
2,29,111,4.29821989644791e+16,102.751049589321,0.251188643150958,0.00244947836570131
2,24,112,173360328334.131,90.167637156079,1,0.00244947836570131
2,25,112,10479997328204.7,90.5774791377189,1,0.00244947836570131
2,26,112,802093915820237,91.1592737902264,1,0.00244947836570131
2,27,112,1.02116296384116e+15,92.6700833836228,0.421696503428582,0.00244947836570131
2,28,112,3.24090585163983e+16,92.9810441207942,0.421696503428582,0.00244947836570131
2,29,112,4.8122198566483e+16,102.434318980173,0.251188643150958,0.00244947836570131
2,24,113,166751735787.518,90.1905773302584,1,0.00244947836570131
2,25,113,14655187762160.2,90.5286826803543,1,0.00244947836570131
2,26,113,809559430430763,91.1125557768851,1,0.00244947836570131
2,27,113,1.06953855943997e+15,92.6676548889465,0.421696503428582,0.00244947836570131
2,28,113,3.11347394762779e+16,92.982075347649,0.421696503428582,0.00244947836570131
2,29,113,5.07470477209719e+16,102.281176600183,0.251188643150958,0.00244947836570131
3,24,132,185508700215.442,89.7531730335178,0.421696503428582,0.00188900401929248
3,25,132,4184231890541.02,90.7259734006387,1,0.00188900401929248
3,26,132,28411256258908.8,90.9531430680387,1,0.00188900401929248
3,27,132,173899601657005,91.958517518342,0.421696503428582,0.00188900401929248
3,28,132,1.5109432022335e+15,93.0475466589438,0.421696503428582,0.00188900401929248
3,29,132,1.11560772151421e+16,97.6602609016595,0.251188643150958,0.00188900401929248
3,24,133,129021985301.316,89.7797492379737,0.421696503428582,0.00188900401929248
3,25,133,3054805350981.07,90.6713625646869,1,0.00188900401929248
3,26,133,20520374145666.1,91.0266943974737,1,0.00188900401929248
3,27,133,139759300214049,91.9616002094092,0.421696503428582,0.00188900401929248
3,28,133,1.09729011964226e+15,93.0845986061306,0.421696503428582,0.00188900401929248
3,29,133,8.971546143486e+15,97.4915350482375,0.251188643150958,0.00188900401929248
3,24,134,101152559464.904,89.8212540231885,0.421696503428582,0.00188900401929248
3,25,134,2047695248932.02,90.7090951572733,1,0.00188900401929248
3,26,134,14936481374983.6,90.9533154881379,1,0.00188900401929248
3,27,134,110354850030382,91.9553760976492,0.421696503428582,0.00188900401929248
3,28,134,796636149995876,93.1355930036312,0.421696503428582,0.00188900401929248
3,29,134,7.2758201878648e+15,97.3082066828853,0.251188643150958,0.00188900401929248
3,24,135,87898668666.8051,89.9266936760982,0.421696503428582,0.00188900401929248
3,25,135,1618569601983.8,90.784019974846,1,0.00188900401929248
3,26,135,12159201452572.9,91.0265809494102,1,0.00188900401929248
3,27,135,97742930954994.4,92.0268622804793,0.421696503428582,0.00188900401929248
3,28,135,614751691751045,93.1031589804546,0.421696503428582,0.00188900401929248
3,29,135,6.02017212382625e+15,97.2165562145147,0.251188643150958,0.00188900401929248
3,24,136,134330549294.601,89.8532206960058,0.421696503428582,0.00188900401929248
3,25,136,1504158379087.01,90.7660965897367,1,0.00188900401929248
3,26,136,9890187319272.33,91.0703679378406,1,0.00188900401929248
3,27,136,86041276143651,92.0361590445543,0.421696503428582,0.00188900401929248
3,28,136,492239035442850,93.2505217643338,0.421696503428582,0.00188900401929248
3,29,136,5.29312714791039e+15,97.0599309839457,0.251188643150958,0.00188900401929248
3,24,137,204218904735.141,89.7139125036089,0.421696503428582,0.00188900401929248
3,25,137,1627906754855.64,90.7826172995152,1,0.00188900401929248
3,26,137,7799986972568.47,90.994516365798,1,0.00188900401929248
3,27,137,85656060298001.3,92.0679832609469,0.421696503428582,0.00188900401929248
3,28,137,427078910437881,93.3633978133749,0.421696503428582,0.00188900401929248
3,29,137,5.12914119391273e+15,96.9307832571727,0.251188643150958,0.00188900401929248
4,24,144,371871709592.585,89.6034974293103,0.421696503428582,0
4,25,144,1162619757069.45,90.7064568241102,1,0
4,26,144,8306119885097.43,91.0021109582416,1,0
4,27,144,340058388371257,91.681004985278,0.841395141645195,0
4,28,144,1.08318651320851e+15,93.2925704532109,0.421696503428582,0
