csi,lambda,gamma,k,h,target
8.24761198730193e+18,20039.1291946057,0.489662442810881,1.38301409075788,1.443557,0
5.14591041283803e+18,22252.1608024701,0.449017682406766,1.83762106886805,1.830221,0
8.79374767185538e+17,22885.3572509578,0.454691100460552,3.4410941028476,4.817507,0.00175102951869932
2.1034709898622e+18,23884.9413867026,0.265509481900515,3.22062980787952,2.147396,0.277220456739781
3.13537534547734e+18,23433.9757741746,0.225400095248012,2.25613002503499,3.601694,0.00676189149011353
1.8508338195527e+18,23537.9058950444,0.39718140761728,3.41068252694904,4.817999,0.00139352856958619
2.97732778275281e+18,23849.6520263391,0.280132065295371,1.94161630062819,2.396144,0.00147107912955791
4.51242450526097e+18,22626.6561200047,0.623427175170501,3.60814956354614,5.2505,0.00307188515304402
1.35072486237539e+19,23940.4857402376,0.313901067808012,1.93283065069945,1.556992,0.00778724214676252
3.95247330826672e+18,22912.781377069,0.35606165456131,2.23372847976655,1.88201,0.00122380024379432
1.02963789412494e+19,23795.7553050578,0.221216117052998,2.19358734405459,2.904986,0.00176346496441693
8.0586003337597e+18,24658.5377020314,0.260136443876387,2.4702488302995,2.15453,0
2.69531928105956e+19,24151.8806400219,0.356614387301592,2.70926637706519,2.744627,0
2.29667095442555e+19,25386.8591964378,0.290288330867026,1.91511545191186,2.617481,0.00925879002645547
1.37895357916426e+19,24905.8040910988,0.36596769358442,3.34291372856756,3.930473,0
2.28154357597491e+19,27286.2139593012,0.242375400892078,1.58170337498488,2.613248,0.023766987108172
1.72429092408736e+19,25822.7704524753,0.396366222210846,2.21926640984393,2.497394,0
1.04146832322553e+20,28841.521617842,0.342140221613408,1.96978024816144,1.607089,0.00138444187989728
1.09351525372045e+20,27328.3590327274,0.523015585000189,2.2235154206034,1.895219,0
9.31279950682796e+18,24054.6016487597,0.586046358906117,1.94599099034209,1.649421,0.00651392277270002
8.83802150461551e+18,19994.2059469545,0.484184589931116,1.22398736635089,1.03381,0.0444609725830726
9.42561010198411e+18,22203.1722444657,0.442512120130762,2.15278068131695,1.612447,0.00435487060785955
4.1959536769628e+18,22698.9800187906,0.288956217278065,2.71969552588814,3.612089,0
4.94032161503393e+18,21973.15503959,0.38197747285442,2.1656223041353,3.433529,0.0304984023144789
4.56983307868484e+18,24248.4582496968,0.2647603891508,3.16124802571206,4.997345,0.0174125670586457
6.58598912255122e+18,23217.1806659142,0.44362641637534,2.38132272077319,3.413423,0.00556487340229694
7.24714811854742e+18,22676.7413750265,0.389066645585457,2.55210842573107,3.302264,0.00150623186768006
7.52047849432329e+18,23886.853011756,0.27220839957492,1.98742187559449,2.166791,0
3.36798307790577e+18,24271.8831579661,0.268183457673133,3.821467364969,3.468443,0
7.56325222564842e+18,22890.2365194746,0.202920698946225,1.68991183494309,1.864963,0
1.24890801948602e+19,22654.2259009559,0.236487448057856,2.85212243217586,2.590028,0
1.82830477763928e+19,23767.4758552383,0.243943731675982,2.05277630804463,3.177557,0.0042312960548333
2.47954080386897e+19,25352.0096852062,0.1856930402323,2.23510808448323,2.630024,0
4.24217584427027e+19,27282.7523307711,0.193740122633654,2.05367708780672,1.635687,0.00614475812693949
7.83590388410182e+19,25139.0093402783,0.180482718788381,2.69752229700467,1.874168,0.015331296421188
1.31667153201731e+20,27246.066153783,0.337410138182505,1.79514732775565,1.880261,0
1.43287434647935e+19,28942.5541086834,0.257294877820161,2.24903250535424,2.572736,0
9.28861499313657e+19,27056.0366044203,0.233762362857623,1.44407978055945,1.135921,0
4.61333393009771e+19,28183.430409475,0.541621369915239,2.973089998441,2.6495,0.00329923294606027
3.8353535949385e+18,24076.7398596917,0.532376547978734,2.03127477524045,1.726537,0.0138731848767409
5.7221972005469e+18,20049.9704147977,0.46808032051178,1.14927740031605,1.270827,0
1.3390142355403e+19,22696.792824654,0.449249645755779,2.3303041065103,3.393881,0.0013504501151248
2.41986885833824e+18,22429.4326645812,0.28495054112085,1.94612478002962,1.882118,0
3.02231714455075e+18,21450.2796848054,0.552896545273475,2.3993421026774,1.797468,0.00172444523357496
3.38074222476485e+18,21967.950250599,0.369255695023682,2.48597442752161,1.971765,0
3.62702329279496e+18,20791.0022549797,0.798197380150971,2.81852632360946,2.026232,0.00179563920952741
1.95995463876757e+18,21399.9755841826,0.639639726125927,2.51520159836521,1.962095,0.00448099650299927
4.47324485259033e+18,23143.5111704905,0.333721535825383,2.46399118293464,2.583797,0
3.76369734201115e+18,22658.2547254889,0.198534220884963,1.82409057193153,2.469914,0.00395305037871474
1.74400309720926e+18,23638.1478370826,0.341736732383494,2.53286171789445,2.589104,0
8.08954507150898e+18,22762.2972309778,0.321286998526116,1.58834510558533,1.916596,0
7.56351758305969e+18,24682.876143973,0.281616392645198,3.24805130895772,3.679223,0
1.96306826216936e+19,24973.6189910062,0.211446621499373,2.00004613495905,1.576296,0.00386108993982326
2.90731797468256e+19,25828.1900466536,0.229812745075861,2.10754517669505,1.970422,0
2.66018361527043e+19,26403.8361263904,0.24128761578914,1.9331497353817,1.988326,0
