csi,lambda,gamma,k,h,target
47008211363210.5,109.949725308146,1,2.38061914267558,1.874168,0
0,0,0,0,0,0
112420453296.385,115.455063751762,1,3.2744596134549,2.572736,0
26048412314.979,115.254526551875,1,2.39228449284902,2.407763,0
11151824847.1189,114.893813832081,1,2.83726318821436,2.6495,0
13908118918877.3,114.386252379347,1,3.79123215114456,4.179611,0
23090376160323.7,114.320787088618,1,3.68199933963455,7.70827,0.00498049456378824
15371972777.5371,114.622596263458,1,2.24003626226676,3.393881,0
8310921315.51011,108.897197166736,1,2.92191483337366,4.646354,0
54986844211.1375,108.696335436736,1,2.4853023359881,1.797468,0
4.5011286768141e+15,107.611755766903,0.903616083904764,4.08023828179407,4.915295,0.392511746615222
0,0,0,0,0,0
3.23015611517341e+15,96.7299367871608,0.551973493588868,1.72795702822951,1.962095,0.0018223683408688
0,0,0,0,0,0
0,0,0,0,0,0
2.29941262868961e+16,92.5079483395277,0.560871403002126,3.96101993090336,2.589104,0
1.00731239016185e+16,95.8338645117989,0.586046358906117,3.03498189550622,4.749788,0.684336599705226
2.59855601014843e+15,91.1285455716766,0.794713860199231,2.24181841191294,3.679223,0
12135803293.9454,107.938345333367,1,2.59008702520192,3.728888,0
8983314500.31508,108.269406516308,1,2.48822422608812,1.970422,0
6603622243324.67,109.084156680931,1,1.62343226189894,1.988326,0
0,0,0,0,0,0
3.79524188009392e+15,110.650699863698,0.402753199410686,1.79958017336649,1.763362,0
533974330846.494,114.860859748721,0.976250085265509,2.33030155757589,3.004607,0
10403614846.5867,114.911105738865,1,2.59298160506768,2.533259,0
25972501623705.9,114.877848410623,1,3.14099670477744,3.217013,0
28776215111.5646,114.726862406251,0.807232167809527,2.75361651549197,2.07998,0
55168878309.7582,114.614230933696,1,2.09135036997037,2.398883,0
125428120786.911,114.531304429566,1,2.86602074658536,3.022784,0
196199454033.675,114.412437181,1,3.62488870221872,6.24448,0
165926933948.895,114.391107826379,1,3.09816455070078,4.103039,0
4.87869331882828e+15,107.78269128596,1,4.06728950918513,2.6048,0.0320567006486066
0,0,0,0,0,0
143377134.778788,90.8385334803013,1,2.11679612223629,1.798054,0
6.73587954032379e+16,96.3487201396985,0.586046358906117,2.16489450435238,3.739604,0.353795852378711
0,0,0,0,0,0
7343148462.49687,109.227032481532,1,2.60095274723133,2.232827,0
25554956458.7243,109.265424194485,1,2.70481248180271,4.337687,0
3305708514.66669,112.426518603897,1,2.21457931409151,3.362345,0
4373775670.18648,112.411465960795,1,2.78445635185376,1.898564,0
5454958328.69551,112.352015466769,1,2.75015448021838,1.96819,0
3239193713.11698,107.171220454703,1,2.21542798005574,1.998171,0
3806901844.32199,107.427649183774,1,2.06261618539539,1.583454,0
9961225616128.1,107.960436670211,1,3.0085184057065,2.637653,0
4.47246390749489e+17,111.601081338268,0.557770961056852,3.04863680305874,2.006963,0.147300182652246
9.54261138204495e+15,105.202391939618,0.430906842462164,2.23711145781113,2.134331,0
122548455731173,114.30103145125,1,4.29382158450406,4.224854,0
14052374537378.5,114.492107930982,1,2.69238168393574,2.785523,0
9094367295.45738,114.463293962052,0.807232167809527,2.76205373407749,4.591418,0
12356248698.0692,114.33890042695,1,3.06685245447929,4.915562,0
