csi,lambda,gamma,k,h,target
1.52026722550173e+18,11069.2226411796,0.436413742061265,3.11366126526027,3.330671,0
1.02283497529592e+18,10456.7641950187,0.362968264974296,2.28622907551979,1.830221,0.00509105393934728
5.80797125887868e+16,8707.78108399617,0.736804248219329,2.06391117349107,1.939169,0
7.69532597118478e+16,8384.54357234454,0.949875867478193,2.82234312754204,2.147396,0.00391859033476238
9.94805641160401e+17,8108.94144667042,0.849290337821444,2.50355377511627,3.601694,0.00116306877853822
5.00811576521531e+16,8041.01336950604,0.937518808052905,2.90485546943492,4.817999,0.0146224329990632
9.05341889824491e+16,7860.27066336551,0.789895799679881,2.87833875105501,2.396144,0.00301581044483767
1.55877266918793e+18,8680.28478854867,0.38161372527966,3.25624240044925,2.07515,0.0111184165086886
1.64321861049409e+18,8663.20585323995,0.92180503359269,8.12177988045468,10.56992,0.00500368010759189
1.30705047565877e+16,7359.45290869797,0.995594309490144,1.9282281035359,1.88201,0
4.11026248443978e+17,6228.10659817939,0.457333581747838,1.85032947613873,2.904986,0.99855433543424
2.00105270793217e+16,3778.18006111525,0.790663208328577,1.73335627640061,2.15453,0.00223216405212123
7.03788105664735e+16,3564.3136966537,0.739412665036272,1.74782916327832,2.744627,0.132671595913771
1.51819668563168e+17,5153.29613229688,0.334550767057156,2.41591940648902,2.617481,0.00260111120942685
1.26809466393205e+17,5038.41419230428,0.582093406167109,2.49590544462278,3.930473,0.103290860172456
5.27777882754954e+17,11647.5004590612,0.532603069313767,2.57386964681415,2.613248,0
1.13943663207409e+17,8994.97514119874,0.800292969445339,2.37984635551586,2.497394,0
6.38085073082986e+19,9029.9606859313,0.833557451076978,22.2541705159069,11.07089,0.0260993470535423
7.80774534021499e+20,14597.2810751382,0.382175751564606,1.33829210512997,1.895219,0
4.8189031912796e+20,18096.449676324,0.610337144938212,3.68533011075759,3.948263,0.00216471303825427
1.46091862583261e+20,15729.1044195966,0.446939631929847,1.31489801304522,1.03381,0
6.24078307047156e+18,8469.78589741963,0.826292636078589,21.0679932840601,11.12447,0.0411080500139532
1.16456538277977e+17,7883.02109746717,0.732738308097282,1.74153387929468,1.537363,0
1.866600929113e+18,8960.09282681536,0.583520122395096,2.32427062841054,3.433529,0.0135371211429697
3.88470682247475e+16,7896.31543680878,1,2.13917556229883,1.999115,0
8.5603406190972e+16,6816.24920092865,0.908365350629644,1.62439307534338,1.471141,0.00132515956223034
2.62641935784324e+17,5413.63304814834,0.379132934116124,1.72767789659269,1.434088,0.965752374830595
3.59687839595973e+15,4142.37151131704,0.953582794068778,1.77271594638601,2.166791,0.00504462225170754
2.56597547092582e+16,3863.18579949849,0.569933373580524,1.9762149531112,1.489481,0.0547340696887935
1.20987465281185e+17,5381.49347657834,0.638405867037898,4.98147121337852,4.594889,0
6.21995865538585e+17,10635.0144730656,0.480904351722354,2.3226413938014,2.590028,0
1.01528268065638e+17,8839.3145322922,1,2.33904378729355,3.177557,0.00650062723493994
4.45566112833004e+20,12735.1837284423,0.467194745658664,2.06289710927237,2.630024,0.0492063533822716
5.68912048741056e+20,19594.0971841857,0.792794622997766,2.73294694923226,3.907061,0.00265609977366865
9.93811226333618e+20,17842.2842879643,0.46043016570801,4.27246373523086,4.622504,0
2.00839494993686e+20,20777.2401599133,0.843387455751901,2.27156398712336,1.880261,0
3.07422965012039e+19,12344.1323459749,0.523722966152313,2.43273370852928,2.572736,0
1.9817447640216e+17,7997.14866453286,0.976250085265509,2.23925849772925,2.407763,0
3.37478981535968e+18,8853.7956664663,0.472677016138444,1.79285673343832,2.6495,0.0432397333013795
1.5019020786166e+17,8168.35902006439,1,2.43752144665849,4.179611,0.00187231059961424
1.83984619114e+16,7541.99021442917,1,3.0040374390781,2.812481,0
1.71300542530259e+17,6620.74597365416,0.679583720265533,3.03924568212336,3.393881,0
7.14871078583264e+16,4874.74251830548,0.57571459798379,7.39275649842225,4.646354,0.128102350190902
2.98004043383053e+15,4398.54265177624,0.968137468165069,2.97206181810171,4.392404,0.00621229106740528
