csi,lambda,gamma,k,h,target
1.83253663156855e+20,24072.5516000049,0.317268324444369,1.96678176280068,3.330671,0.0755264242624923
1.02110215587934e+20,20642.5599999118,0.349823802745185,2.57336755532036,1.830221,0.00502796022758489
1.30026745934179e+20,20021.7751489044,0.662343077099295,5.07090978369084,4.817507,0
5.9616373063032e+19,23216.9003241686,0.371080956732738,1.88714756600648,2.147396,0
2.71424541829261e+16,28474.3512693699,0.925648362281258,27.8521180147985,10.33898,0.0407197035754637
4.58242194342311e+18,28444.5916237765,1,7.89789711752845,14.39333,0.00195282417813192
5.13847625684611e+18,28064.4610093751,1,3.17119517619861,2.396144,0.0229860110372159
1725484907054.21,28693.7827388945,1,1.72858960482041,2.07515,0
1473524762470.71,28737.7024740602,1,3.22800376735063,3.670976,0
16983289819293.4,28801.4083870985,1,2.48394233026929,1.88201,0
5.75749014407104e+18,28150.9953857882,0.723301165045656,11.7680442744103,8.01662,1
1.07605184870369e+19,23163.5221061694,0.388335609008734,1.16304459377684,1.05151,0
8.99487430070975e+18,20442.8378169916,0.662093636816825,5.15427082453667,7.48209,0.0355919958697026
1.13190539088966e+15,18464.5774285005,0.968137468165069,2.08869293458274,2.617481,0
30810804122971.8,17668.3306295302,1,2.61953202356713,3.930473,0.00139582468540211
252138378362080,17854.1985379938,0.661127177377745,2.31193635814069,2.613248,0
2.96836110143681e+15,19141.6396482354,0.46467626071527,1.98339723371323,2.497394,0.00204794144489961
2.10866710004278e+18,18744.2110114106,0.413880177952362,11.3207761711887,11.07089,0
681397995847990,17371.2604512138,0.909474030160998,3.22485646291683,4.685657,0
11854564942267.2,17225.6106235503,0.995594309490144,2.06859168844504,1.649421,0
14380449000526.8,17328.5916985879,1,2.45114232796185,2.10143,0
9575368215358.01,17187.8926474691,1,3.71701803255269,3.837341,0
25249063134270.8,17327.493168801,1,2.78597008631763,3.612089,0
1.60248138482258e+17,18473.416160708,0.957988484578634,1.95837568101833,1.477843,0.11020706119137
4.70466287512878e+20,23320.487323063,0.293530731376822,1.70414952476125,1.999115,0.00282308535361098
3.03457452057894e+20,21477.1064553245,0.219166990083227,2.26610628747495,3.413423,0.00686231661017445
6.18498347051408e+20,21844.830738631,0.22762590775678,2.86240806442278,3.302264,0
1.47010423720784e+20,21359.7513107065,0.22674311346542,2.4909442705305,2.166791,0
6.16549140120942e+19,20566.4691158125,0.438534974620166,5.79168788970819,9.89481,0.00345904080244641
1.81602981954763e+20,21763.4356458267,0.501248449557014,3.76188461086219,4.594889,0
1.51239918565169e+20,24471.0800090413,0.276401779284837,2.34725998170751,2.590028,0
8.38030200394647e+19,26056.024085067,0.236763455621675,2.28357554734472,3.177557,0.00248256515296708
1.4426748804197e+20,21670.3633295303,0.172786676009985,1.74089773721983,2.630024,0.0210013434865429
1.22806831252917e+20,24023.4112009437,0.391767798290017,2.06760612936059,1.635687,0.00592463001905996
1.19164554529977e+20,23485.0324227542,0.316043774408461,2.23074934556994,1.874168,0.00105113316305272
3.21525955377928e+19,26850.3892458834,0.380215422793038,2.73964988077664,1.880261,0.0163671784558097
6.50138159204903e+17,28804.8390476561,0.913768893318415,8.31794881972989,6.90912,0
4.51499764491959e+16,28837.9878580107,1,2.42252100740272,2.407763,0
4.09861229118037e+16,28862.6427684136,1,9.19283941723832,7.165,0
191235631266316,28899.8555708246,1,2.38707790931765,1.726537,0
2058778864007.55,28932.483421293,1,2.26778549301253,2.812481,0
1974076172046.58,28971.7779727964,1,2.24356681838135,3.393881,0
2466913761036.05,29011.89944772,1,2.82276797807858,4.646354,0
76851356091495.6,29058.1949653129,0.976250085265509,2.0101792944207,1.797468,0
3.25779143186912e+18,28786.2086248796,0.658225266023402,19.1295588384716,14.71765,0.00543882864551903
1.74714953943487e+18,20231.9417721852,0.658954423117423,7.56371068439404,5.08744,0.0530104847006032
75108656916727.6,17844.6555119255,1,2.27146776796556,1.962095,0
135446887826440,17602.6470632904,0.987481692389704,2.13019233533167,2.583797,0
46092767827428.5,17572.43482306,0.953786871017121,3.13398485180362,2.469914,0
41904561254855.1,17516.5978340774,1,1.87341643581258,2.589104,0.00699762117954461
21784107383367.4,17268.0258544194,1,2.4846216115876,1.916596,0
14071245291051.5,17194.0596043792,1,2.64255172408057,3.679223,0
10857082101676.4,17158.5188742379,1,2.68844798821505,3.728888,0
10870837193788.5,17020.3344524433,1,2.41612602734827,1.970422,0
35427256985914.6,17448.1237421244,1,2.60427053474744,1.988326,0
2.45740982739352e+19,19246.2486577942,0.718742895886763,2.8120989962628,3.155483,0
5.04115327366314e+20,25140.8389603268,0.429006561522509,2.04381016459104,1.763362,0.00113266653597022
4.23176018005547e+20,21760.9900726062,0.30519439865669,2.22223525881849,3.004607,0.00519307175268036
2.46601895389036e+20,23408.0564365406,0.319016796048815,2.17206984328751,2.533259,0
2.76510829005386e+19,20238.4383241804,0.576174238914665,3.93998324944742,3.217013,0
3.17481114036323e+20,22262.4539229831,0.322872915969233,2.58005199457673,2.07998,0
1.90427094236932e+20,23325.8838765684,0.249098128364835,1.94422091122378,2.398883,0.00213688597426676
3.07254344598844e+19,26840.3267266649,0.476818964037775,5.3824879031657,8.40928,0.0105676830523286
5.18520256357009e+17,28213.9999439482,0.737295511515997,11.4299873319016,6.24448,0.715370517307694
8.61636250359731e+19,21892.2907749091,0.198181389807148,2.59475646233424,4.103039,0.0267079609455613
6.00673246896601e+19,20829.3781972778,0.189889320770258,2.26599333046293,2.6048,0
1.14877828236703e+19,19887.0182422642,0.409817815719739,2.5259160903259,2.017301,0
1.02136069166985e+20,22701.0948901023,0.387165084577249,2.28283318999793,1.798054,0.00402072125268282
5.7612368327812e+19,26912.8813766771,0.363941116373501,2.013833480339,1.579868,0.00659729739945403
1.19571021583837e+19,29070.5896087666,0.727485486445734,9.71338896837401,6.12362,0
7.93083420188924e+19,26409.8542276936,0.37659426720012,1.78335153159714,2.232827,0.00118123652410596
1.25504325010251e+19,28440.2871283476,0.712694083204087,10.1799450352035,12.79229,0
3183652105428.59,29158.7806175097,1,1.8147900307031,1.454115,0
2291854851599.83,29195.2855034834,1,2.42392202909507,1.898564,0
2059025374895.42,29247.5560491335,1,2.40793508400814,1.96819,0
2239687144096.32,29288.5973430486,1,2.48837066338984,1.998171,0
1.1792271932162e+16,29368.8813265284,0.987481692389704,1.88088912659526,1.583454,0
5.93809978382024e+18,24183.6737665047,0.464219641081341,1.18145598299886,1.212551,0
537308907201954,18223.6489171134,0.969220091702828,2.21756054083921,2.006963,0
414727577158962,17759.9774138684,1,1.9640025711791,2.134331,0
28054907602907.2,17484.3065192224,1,2.2290041435936,1.741618,0
20705996858825.4,17486.4975735297,1,2.65731697476299,2.785523,0
30276581646430,17269.0587935997,1,6.24224234283724,4.591418,0
15228169932293.6,17243.5262626177,1,3.78054401453528,4.915562,0
21663899889037.4,17015.6788492447,1,2.70194113826341,3.910175,0
8762071999297.21,16986.2562842558,1,2.24994566534778,1.891802,0
9.40038335753648e+15,17875.432042965,0.971256458188822,1.96377607935804,3.022982,0.00395882853562413
9.62815020301341e+19,21907.5887788338,0.437837019992551,3.71818304509531,4.380413,0
9.18691885118557e+19,21768.2705869291,0.38914731186831,3.77681465476261,4.570742,0
4.204146427529e+19,19738.9028566951,0.630351498824303,3.57707566728283,5.72765,0.00955003053851322
1.48268038500337e+20,20573.7958591865,0.321834399816644,4.16496826850586,5.6956,0
7.35330319232269e+19,20938.2724169086,0.379168512195802,4.31041561778953,2.837378,0.0174371604167466
1.09527932586647e+20,22057.3934664345,0.504900445178029,4.38926652555367,7.57005,0.00467784342452926
4.18665578038553e+19,20796.2176647973,0.48387966037879,6.61827741080649,11.42149,0.0134611065724184
4.52364028236995e+19,24960.8842100074,0.276603097923131,1.40523310967208,1.088473,0
2.0147174204971e+18,28003.4657046546,0.619974947634265,13.392893656497,5.32788,0.229608560181443
9.11606344793429e+18,20358.2171789658,0.372797526700128,2.69722462650345,4.477052,0.0111394675708567
2.11942831235208e+18,18479.4213983971,0.789003077008733,9.38471315743259,11.54297,0
1.72858796451372e+19,19286.9941820493,0.976250085265509,3.57890678018192,2.923916,0
4.51579870230605e+19,21217.6571308464,0.832816939402079,3.36178846363213,4.71545,0.00111403978783475
1.24222821715234e+20,23116.0185638015,0.563656878029684,2.46388145214379,2.090576,0
4.90090523699629e+19,22032.0107026623,0.6420401958463,3.18862218820964,4.400234,0.00940900207882622
8.7183223422866e+19,24020.0657068143,0.363319704970613,2.1741727046185,2.434718,0
4.19074346880828e+19,27634.6098519196,0.419976938909583,3.26713990491678,4.728959,0.00232099491208004
9.87318077288734e+17,29406.1525459448,0.900611747060665,17.2131236393817,6.72824,0
2794635922675.44,29426.5633181954,1,2.03230356174355,1.70702,0
2880315411308.89,29467.6301758931,1,1.99216662695475,2.069765,0
3117793374311.9,29501.3343300905,1,2.94349659407608,1.93894,0
3368101114129.99,29561.4344140621,1,2.03447755619428,1.539213,0
9.61601018595876e+18,28863.2449614107,0.664857137905404,8.95589472723867,12.45669,0.0363176045234288
2.41447547063352e+18,19320.4044194217,0.71392050789906,14.3098131069856,9.52705,0.00656287331966754
971192907691571,18148.4059511453,1,3.21991866649142,2.190581,0.0065613241287511
154119116311142,17351.4476557653,1,5.77949572562024,9.88264,0
7936882523387.84,17344.2914572961,1,3.3923196714868,4.861349,0
21883595430873.6,17417.187370596,1,2.40446065152522,3.26861,0
125577053014765,17433.2261567363,1,3.02164946282857,2.353673,0
14738555484714.4,16907.563324666,1,2.23321348491428,3.101237,0
19806361609731.7,16960.9734653646,1,1.8404663806195,1.78264,0
1.61209315079976e+18,18252.3442536207,0.949875867478193,4.6798430802769,3.374714,0.00128730241065544
3.20661472938045e+20,23762.4696912769,0.276560172443775,1.89276946269336,1.852857,0
4.84243365411859e+20,22755.2881264462,0.30556016369931,1.81815744943093,3.083276,0.0783251935442222
2.36430431487939e+20,22028.7752799198,0.354184111430096,2.73593697427667,2.052524,0.00608349710701206
2.35570381426377e+20,25775.5953138195,0.342079570798867,2.35492127102278,2.347259,0
2.23829791543023e+20,24652.8642489545,0.368162359677255,1.58267976010746,1.990307,0.00742915863636529
2.49799407563484e+20,23270.7548004115,0.459823819714381,1.65471328081372,1.42347,0.00233411038721565
6.0351210838179e+19,27114.136556617,0.650633604392551,3.50061264441981,5.48016,0.0204388646189826
3.46074748237847e+16,28893.9428013457,0.899210393394908,9.25794069916773,13.0808,0.00540119982578924
6313019095271.61,29015.9159143078,0.962394175088489,1.84263366380474,1.514221,0
3.59952191046555e+17,18602.6753795568,1,2.36805420912105,1.71812,0.00378993286989349
1.30399433910261e+17,18674.2222262328,1,2.49317308868269,3.701087,0.006498009304852
3.32724650577005e+19,19713.651681277,1,4.19727354301709,6.74783,0.00221542906456895
4.07165700511326e+19,21224.6181290107,1,2.01602359954914,1.603953,0.00102882872443855
4.80408736528521e+19,20772.9341838775,1,6.0543916217858,7.64318,0
6.00226564394967e+19,21640.0059500298,1,3.202740025163,2.383286,0
1.10694765133366e+20,23646.2987258131,0.629614865439701,2.2966878502343,1.966503,0
3.17717921083151e+19,23559.6359037365,0.380776920682277,2.70051703757695,3.477113,0.00268454413149999
9.8717431332404e+17,29222.2137431194,0.758654194903234,12.0007776188225,9.37975,0
2986839781037.91,29697.483791314,1,2.51128822299009,3.951083,0
2892878321068.03,29734.4584590984,1,2.08297766695008,1.991017,0
4087190144121.56,29788.6790400855,1,1.93029831760509,1.648172,0
2692309638423.31,29825.7349263067,1,2.01900108248099,1.775552,0
1.15036177171601e+17,29865.4423612716,0.957988484578634,9.17901796285747,7.1491,0
9.85767527887579e+18,23959.8715323563,0.397360622816372,1.25208277315863,1.916954,0
2.57476001114226e+15,18385.1641224123,0.976250085265509,3.16418811553901,3.315755,0
128545281024473,17671.5335976856,1,3.84346543409769,3.456566,0
15975241809439.1,17433.4208479877,1,4.48311658645542,6.60081,0
19356680389383.9,17578.2288589625,1,2.16331663737225,2.483651,0
125658999939626,17244.1367069169,1,2.78329529713221,2.189189,0
10723304911071.3,16867.2388696129,1,2.6088042268067,2.59859,0
58867855870451.3,17183.771427284,1,2.27067239317068,3.221339,0
8.44834563197242e+18,19366.2355803105,0.941924498562761,1.28762251447975,1.291704,0
3.70996010645475e+20,23187.1223040332,0.369797606094193,2.61625006485763,2.165327,0.00174509097947839
3.8869144939573e+20,22049.3993089048,0.296893598869549,1.6678964086316,1.335359,0.0110514314688668
1.10353422624775e+20,24471.1922234476,0.210763719291442,1.40902192985455,1.409119,0
3.8062013530501e+20,26254.7770913887,0.203910677772198,2.02808186801577,1.518436,0.0198336153378378
4.98635240923713e+20,23470.2499484854,0.346831138521328,1.77537299464522,1.911957,0
2.09766173134034e+20,25614.7473560696,0.317924005950561,1.61732803545982,1.48984,0
2.8672288035082e+20,27505.9004447525,0.788108837561257,3.07391351227267,1.987806,0.00710673537144302
2.18774223867194e+20,29096.5565089963,0.689543885415784,5.45246020804541,3.734291,0
7.69145512397943e+19,29423.9109628296,0.791133896287843,4.70812209724071,4.300373,0
1.39501121950608e+19,19767.1675287667,1,2.2892911605854,3.604184,0.00166529298983176
7.14988619105328e+18,19198.476453406,1,2.66139449941872,2.208164,0
2.71660248850118e+18,19649.0851089319,1,5.00529581957462,8.6791,0.00325975399206513
5.78308455491903e+19,20038.1496994836,0.827819861419483,3.05932319264635,2.790335,0
1.60204076874599e+20,20850.2716988748,0.513054619948382,2.63391854074583,1.962244,0.00697072941334553
7.02921541970162e+19,25394.5084627171,0.375604595322768,1.96327657786183,2.872103,0.0405972393813253
5.94453727319031e+19,23309.2692810229,0.629270685569678,3.81614809195381,3.221066,0
1.38649375789814e+19,27261.2617651569,0.435872011846831,2.17807960082222,3.309197,0
4052488313877.65,29920.418382186,0.995594309490144,2.29893194763752,1.68569,0
