id,x,y,csi,lambda,gamma,h,targetGlobale,target
0,0,0,0,0,0,0,0,0
3,24,84,6543678323948.24,89.7503259471183,1,4.817507,0.923444264944284,0.0971228943724689
3,25,84,34493742232674.9,89.7692598335336,1,4.817507,0.923444264944284,0.0971228943724689
3,26,84,73190138577787.2,90.3454992250776,0.841395141645195,4.817507,0.923444264944284,0.0971228943724689
3,27,84,354618768399348,90.5105959206411,0.841395141645195,4.817507,0.923444264944284,0.0971228943724689
3,28,84,2.5167809367096e+15,92.4067182788532,0.841395141645195,4.817507,0.923444264944284,0.0971228943724689
3,29,84,5.22387850602349e+15,96.0156577373725,0.841395141645195,4.817507,0.923444264944284,0.0971228943724689
3,24,85,1098970233063.88,89.3885267017323,1,4.817507,0.923444264944284,0.0971228943724689
3,25,85,14536341881402.3,89.4503690318458,1,4.817507,0.923444264944284,0.0971228943724689
3,26,85,55837988442884.9,89.9597379524366,0.841395141645195,4.817507,0.923444264944284,0.0971228943724689
3,27,85,428332827582514,90.8279757195574,0.707945784384138,4.817507,0.923444264944284,0.0971228943724689
3,28,85,2.33739492225866e+15,91.6962287603656,0.59566214352901,4.817507,0.923444264944284,0.0971228943724689
3,29,85,3.90147250053569e+15,95.2504113834998,0.501187233627272,4.817507,0.923444264944284,0.0971228943724689
3,24,86,1072140978225.52,89.8774393806395,1,4.817507,0.923444264944284,0.0971228943724689
3,25,86,17336796263044.9,90.2692473130817,1,4.817507,0.923444264944284,0.0971228943724689
3,26,86,68437459432963.6,90.7615409298484,1,4.817507,0.923444264944284,0.0971228943724689
3,27,86,604214893796038,91.3229896910146,0.707945784384138,4.817507,0.923444264944284,0.0971228943724689
3,28,86,6.06480779670247e+15,93.9678049536054,0.59566214352901,4.817507,0.923444264944284,0.0971228943724689
3,29,86,1.37466736783211e+16,95.2838504261347,0.501187233627272,4.817507,0.923444264944284,0.0971228943724689
3,24,87,689583441919.081,89.7799504484548,1,4.817507,0.923444264944284,0.0971228943724689
3,25,87,14343937607704,90.0570912536193,1,4.817507,0.923444264944284,0.0971228943724689
3,26,87,67562180358735.9,90.8390633642503,1,4.817507,0.923444264944284,0.0971228943724689
3,27,87,480706190517268,91.4834880933452,0.59566214352901,4.817507,0.923444264944284,0.0971228943724689
3,28,87,7.870748675566e+15,94.9046606774003,0.501187233627272,4.817507,0.923444264944284,0.0971228943724689
3,29,87,1.08137271705429e+16,107.161415931582,0.251188643150958,4.817507,0.923444264944284,0.0971228943724689
3,24,88,328207659374.437,89.6402365927985,1,4.817507,0.923444264944284,0.0971228943724689
3,25,88,7828603832965.65,89.8848594560484,1,4.817507,0.923444264944284,0.0971228943724689
3,26,88,46205359090753.8,90.7844459530406,1,4.817507,0.923444264944284,0.0971228943724689
3,27,88,221878401293541,92.0687896100647,0.501187233627272,4.817507,0.923444264944284,0.0971228943724689
3,28,88,6.03951420333297e+15,94.4455686387545,0.421696503428582,4.817507,0.923444264944284,0.0971228943724689
3,29,88,4.94546554717371e+15,110.718230544867,0.211348903983665,4.817507,0.923444264944284,0.0971228943724689
3,24,89,370440939648.803,89.6751812375164,1,4.817507,0.923444264944284,0.0971228943724689
3,25,89,4722594834823.99,90.1176047249602,1,4.817507,0.923444264944284,0.0971228943724689
3,26,89,40123017822343.1,91.0615122621721,1,4.817507,0.923444264944284,0.0971228943724689
3,27,89,162184119126987,92.4767145571703,0.421696503428582,4.817507,0.923444264944284,0.0971228943724689
3,28,89,5.85451081343062e+15,94.3799219487947,0.354813389233575,4.817507,0.923444264944284,0.0971228943724689
3,29,89,4.50961513929316e+15,110.410438999596,0.177827941003892,4.817507,0.923444264944284,0.0971228943724689
