csi,lambda,gamma,w,k,h,target
1.52026722550173e+18,0.662183823933236,0.436413742061265,6916.37080236896,3.11366126526027,3.330671,0
1.02283497529592e+18,0.680875142826055,0.362968264974296,5966.19797698552,2.28622907551979,1.830221,0.00498187832113217
5.80797125887868e+16,0.734251500473154,0.736804248219329,9947.99433505198,2.06391117349107,1.939169,0
7.69532597118478e+16,0.744116227535492,0.949875867478193,12840.6357968184,2.82234312754204,2.147396,0.00391846849738298
9.94805641160401e+17,0.752527193619482,0.849290337821444,10985.8063276112,2.50355377511627,3.601694,0.00116300874182962
5.00811576521531e+16,0.75460025728611,0.937518808052905,11141.7242565715,2.90485546943492,4.817999,0.01462222290105
9.05341889824491e+16,0.760116255276177,0.789895799679881,11717.6525304318,2.87833875105501,2.396144,0.00301580334369511
1.55877266918793e+18,0.735090646426323,0.38161372527966,7028.17768448708,3.25624240044925,2.07515,0.0111284179815324
1.64321861049409e+18,0.735611870075382,0.92180503359269,15113.1395530007,8.12177988045468,10.56992,0.00500359995773392
1.30705047565877e+16,0.775400466667746,0.995594309490144,12371.2392268915,1.9282281035359,1.88201,0
4.11026248443978e+17,0.809927469765942,0.457333581747838,7329.30833131407,1.85032947613873,2.904986,0.668394501197952
2.00105270793217e+16,0.884695576002831,0.790663208328577,9903.85610415124,1.73335627640061,2.15453,0.00223214196641319
7.03788105664735e+16,0.891222458673247,0.739412665036272,10330.0375692448,1.74782916327832,2.744627,0.132666110836758
1.51819668563168e+17,0.842729083153878,0.334550767057156,5347.09813143539,2.41591940648902,2.617481,0.00426171025808741
1.26809466393205e+17,0.846235108728163,0.582093406167109,10233.712404411,2.49590544462278,3.930473,0.103283115713127
5.27777882754954e+17,0.644535646868458,0.532603069313767,8236.92411988503,2.57386964681415,2.613248,0
1.13943663207409e+17,0.725486765916967,0.800292969445339,11202.9247859994,2.37984635551586,2.497394,0
6.38085073082986e+19,0.724419059238524,0.833557451076978,13806.4695787264,22.2541705159069,11.07089,0.0260999086578764
